Manufacturer,Model,Type,Selling Price,Miles per gallon,Airbags standard,Drive train type,No of cylinders,Engine size,Horse power,RPM,Engine revolutions per mile,Manual transmission available,Fuel tank capacity,Domestic
9,Summit,4,12.2,29,0,1,4,1.5,92,6000,2505,1,13.2,1
10,Festiva,4,7.4,31,0,1,4,1.3,63,5000,3150,1,10,1
10,Escort,4,10.1,23,0,1,4,1.8,127,6500,2410,1,13.2,1
11,Metro,4,8.4,46,0,1,3,1,55,5700,3755,1,10.6,0
12,Civic,4,12.1,42,1,1,4,1.5,102,5900,2650,1,11.9,0
13,Excel,4,8,29,0,1,4,1.5,81,5500,2710,1,11.9,0
13,Elantra,4,10,22,0,1,4,1.8,124,6000,2745,1,13.7,0
17,323,4,8.3,29,0,1,4,1.6,82,5000,2370,1,13.2,0
17,Protege,4,11.6,28,0,1,4,1.8,103,5500,2220,1,14.5,0
20,Mirage,4,10.3,29,0,1,4,1.5,92,6000,2505,1,13.2,0
21,Sentra,4,11.8,29,1,1,4,1.6,110,6000,2435,1,13.2,0
24,LeMans,4,9,31,0,1,4,1.6,74,5600,3130,1,13.2,1
26,SL,4,11.1,28,1,1,4,1.9,85,5000,2145,1,12.8,1
27,Justy,4,8.4,33,0,2,3,1.2,73,5600,2875,1,9.2,0
27,Loyale,4,10.9,25,0,2,4,1.8,90,5200,3375,1,15.9,0
28,Swift,4,8.6,39,0,1,3,1.3,70,6000,3360,1,10.6,0
29,Tercel,4,9.8,32,1,1,4,1.5,82,5200,3505,1,11.9,0
30,Fox,4,9.1,25,0,1,4,1.8,81,5500,2550,1,12.4,0
6,Camaro,5,15.1,19,2,0,6,3.4,160,4600,1805,1,15.5,1
8,Stealth,5,25.8,18,1,2,6,3,300,6000,2120,1,19.8,1
10,Mustang,5,15.9,22,1,0,4,2.3,105,4600,2285,1,15.4,1
10,Probe,5,14,24,1,1,4,2,115,5500,2340,1,15.5,1
11,Storm,5,12.5,30,1,1,4,1.6,90,5400,3250,1,12.4,0
12,Prelude,5,19.8,24,2,1,4,2.3,160,5800,2855,1,15.9,0
13,Scoupe,5,10,26,0,1,4,1.5,92,5550,2540,1,11.9,0
19,Capri,5,14.1,23,1,1,4,1.6,100,5750,2475,1,11.1,1
23,Laser,5,14.4,23,0,2,4,1.8,92,5000,2360,1,15.9,1
24,Firebird,5,17.7,19,2,0,6,3.4,160,4600,1805,1,15.5,1
29,Celica,5,18.4,25,1,1,4,2.2,135,5400,2405,1,15.9,0
30,Corrado,5,23.3,18,0,1,6,2.8,178,5800,2385,1,18.5,0
